	1	Negative
Are you even trying?	1	Negative
Pathetic attempt.	1	Negative
I'd rather stick needles in my eyes.	1	Negative
Save yourself the torture and avoid this.	1	Negative
Zero effort put into this.	1	Negative
It's like you're trying to be awful.	1	Negative
This is an insult to my intelligence.	1	Negative
I've seen better content from a toddler.	1	Negative
I want my time back after watching this.	1	Negative
My brain cells are dying.	1	Negative
I'd rather watch paint dry.	1	Negative
This is a disgrace.	1	Negative
I wouldn't wish this on my worst enemy.	1	Negative
You should be ashamed.	1	Negative
I'm dumber for having seen this.	1	Negative
This is a train wreck.	1	Negative
I've lost faith in humanity.	1	Negative
My cat could do better.	1	Negative
I can't believe I wasted my time on this.	1	Negative
This is an abomination.	1	Negative
I've seen better content on a potato.	1	Negative
You should be banned from creating anything.	1	Negative
This is an insult to the human race.	1	Negative
I can't believe people actually like this.	1	Negative
This is the epitome of failure.	1	Negative
Whoever made this should find a new career.	1	Negative
I'd rather gouge my eyes out than watch this.	1	Negative
"Congratulations, you've reached rock bottom."	1	Negative
This is an embarrassment to the internet.	1	Negative
My IQ dropped just by clicking on this.	1	Negative
I'd rather listen to nails on a chalkboard.	1	Negative
The only thing worse than this is nothing.	1	Negative
This makes me question the meaning of life.	1	Negative
I can't comprehend how anyone likes this.	1	Negative
This is proof that talent is extinct.	1	Negative
It's like you're trying to be the worst.	1	Negative
This is a crime against humanity.	1	Negative
My disappointment is immeasurable.	1	Negative
This is a waste of digital space.	1	Negative
I'd rather watch paint peel off a wall.	1	Negative
I wouldn't wish this on my worst enemy's dog.	1	Negative
This is an insult to basic human intelligence.	1	Negative
Watching this is a complete and utter torture.	1	Negative
I can feel my brain cells committing suicide.	1	Negative
This is the equivalent of cinematic pollution.	1	Negative
This content is an affront to good taste.	1	Negative
It's like you're intentionally trying to be awful.	1	Negative
I'd rather listen to a screeching banshee.	1	Negative
This deserves a special place in the garbage bin.	1	Negative
This is a disgrace to the art of creation.	1	Negative
I've seen better content on a random YouTube video.	1	Negative
This makes me question the existence of talent.	1	Negative
Whoever made this should be banned from creativity.	1	Negative
This is a prime example of epic failure.	1	Negative
"My expectations were low, but you managed to disappoint."	1	Negative
This content is an insult to my aesthetic sensibilities.	1	Negative
I'd rather watch paint dry in slow motion.	1	Negative
This is the reason why aliens won't visit us.	1	Negative
"Congratulations, you've hit rock bottom creatively."	1	Negative
This is a new level of awfulness.	1	Negative
I can't believe I wasted precious moments of my life on this.	1	Negative
This is an insult to the concept of entertainment.	1	Negative
I'd rather watch paint dry on a rainy day.	1	Negative
This content is a black hole of creativity.	1	Negative
I can feel brain cells dying one by one.	1	Negative
Watching this is a complete waste of time.	1	Negative
It's astonishing how something can be so terrible.	1	Negative
This is a disgrace to the internet.	1	Negative
I've seen more talent in a kindergarten play.	1	Negative
Whoever made this should consider a new profession.	1	Negative
This content is an abomination to the senses.	1	Negative
I can't fathom how anyone finds this enjoyable.	1	Negative
This is a failure on an epic scale.	1	Negative
I'd rather listen to a broken record on repeat.	1	Negative
This is the reason why we can't have nice things.	1	Negative
Congratulations on creating something utterly awful.	1	Negative
